Position,Dependencies,Package name
1,991,node-sass
2,579,sqlite3
3,533,bcrypt
4,490,serialport
5,437,hiredis
6,355,canvas
7,324,websocket
8,260,deasync
9,218,leveldown
10,202,fibers
11,198,nodegit
12,189,zmq
13,168,iconv
14,161,libxmljs
15,129,ffi
16,116,microtime
17,112,fsevents
18,109,ref
19,102,pty.js
20,102,node-hid
21,97,bignum
22,85,newrelic
23,83,lwip
24,77,mdns
25,76,couchbase
26,72,speaker
27,67,kerberos
28,67,java
29,66,msgpack
30,66,mmmagic
31,65,edge
32,64,i2c
33,63,bufferutil
34,59,utf-8-validate
35,56,lame
36,55,windows.foundation
37,50,usb
38,50,usage
39,50,time
40,48,windows.storage.streams
41,47,posix
42,46,midi
43,44,images
44,41,v8-profiler
45,39,protagonist
46,39,i2c-bus
47,38,mapnik
48,37,heapdump
49,35,oracledb
50,34,grpc
51,33,fs-ext
52,33,pngquant-bin
53,33,roc
54,32,snappy
55,32,kexec
56,31,opencv
57,31,sauce-connect-launcher
58,31,keytar
59,29,mraa
60,28,pre-commit
61,28,windows.storage
62,28,robotjs
63,28,gifsicle
64,28,pcap
65,28,secp256k1
66,26,tldjs
67,26,jpegtran-bin
68,26,base64
69,25,nw
70,25,scrypt
71,25,uws
72,25,node-proxy
73,25,wiring-pi
74,24,node-stringprep
75,24,youtube-dl
76,23,mariasql
77,23,inotify
